teams,num_chips,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,Total
New York Yankees,5,0.5802469136,0.5802469136,0.5061728395,0.6111111111,0.5679012346,0.55,0.6358024691,0.6172839506,0.5617283951,0.5185185185,0.537037037,0.5185185185,0.524691358,0.5864197531,0.5987654321,0.5864197531,0.6358024691,0.549382716,0.5802469136,0.5987654321,0.5864197531,0.6234567901,0.6234567901,0.6358024691,0.5864197531,0.537037037,0.6049382716,0.7037037037,0.5925925926,0.5679012346,0.5448275862,0.5982905983,0.6016099454
Los Angeles Dodgers,3,0.5740740741,0.6049382716,0.6172839506,0.6851851852,0.6543209877,0.7166666667,0.6543209877,0.5679012346,0.6419753086,0.5617283951,0.5679012346,0.5802469136,0.5679012346,0.5308641975,0.5061728395,0.4938271605,0.5864197531,0.5185185185,0.5061728395,0.5432098765,0.4382716049,0.5740740741,0.524691358,0.5679012346,0.5308641975,0.5308641975,0.475308642,0.512345679,0.5432098765,0.5555555556,0.5379310345,0.4957264957,0.5795604381
Atlanta Braves,2,0.4691358025,0.549382716,0.6419753086,0.6234567901,0.5432098765,0.5833333333,0.5987654321,0.5555555556,0.4444444444,0.4197530864,0.4135802469,0.487654321,0.5925925926,0.5802469136,0.549382716,0.5617283951,0.5308641975,0.4444444444,0.5185185185,0.487654321,0.5555555556,0.5925925926,0.6234567901,0.6234567901,0.5432098765,0.5864197531,0.6358024691,0.6543209877,0.6234567901,0.5925925926,0.6206896552,0.5811965812,0.5751106273
Boston Red Sox,4,0.549382716,0.5,0.4814814815,0.4814814815,0.5679012346,0.4,0.5185185185,0.6666666667,0.5740740741,0.5740740741,0.4814814815,0.4382716049,0.5987654321,0.4259259259,0.5555555556,0.549382716,0.5864197531,0.5864197531,0.5925925926,0.5308641975,0.5864197531,0.6049382716,0.5864197531,0.5740740741,0.5061728395,0.524691358,0.5802469136,0.5679012346,0.4814814815,0.524691358,0.5931034483,0.4615384615,0.5564818776
St. Louis Cardinals,2,0.4814814815,0.512345679,0.4382716049,0.5740740741,0.5555555556,0.5,0.5617283951,0.5432098765,0.512345679,0.5308641975,0.6172839506,0.5555555556,0.5987654321,0.5432098765,0.5555555556,0.5308641975,0.5617283951,0.5308641975,0.4814814815,0.512345679,0.6172839506,0.6481481481,0.524691358,0.5987654321,0.5740740741,0.5864197531,0.462962963,0.512345679,0.450617284,0.5432098765,0.4275862069,0.452991453,0.5515040981
Cleveland Guardians,0,0.5432098765,0.5679012346,0.4691358025,0.5679012346,0.4938271605,0.5833333333,0.5740740741,0.5617283951,0.6296296296,0.5802469136,0.5,0.524691358,0.5679012346,0.4197530864,0.4938271605,0.4259259259,0.4012345679,0.5,0.5925925926,0.4814814815,0.5740740741,0.4938271605,0.4197530864,0.4567901235,0.5617283951,0.5555555556,0.5987654321,0.549382716,0.5308641975,0.6111111111,0.6896551724,0.5641025641,0.5510969242
Houston Astros,2,0.537037037,0.5432098765,0.5555555556,0.6543209877,0.5864197531,0.4833333333,0.6604938272,0.6358024691,0.6234567901,0.5185185185,0.5308641975,0.4320987654,0.3148148148,0.3395061728,0.3456790123,0.4691358025,0.4567901235,0.5308641975,0.450617284,0.5061728395,0.549382716,0.5679012346,0.537037037,0.5185185185,0.5740740741,0.4444444444,0.5987654321,0.6296296296,0.5185185185,0.5061728395,0.524137931,0.5641025641,0.5389476225
San Francisco Giants,3,0.5,0.4938271605,0.487654321,0.5,0.6604938272,0.4833333333,0.475308642,0.450617284,0.3950617284,0.537037037,0.5185185185,0.5432098765,0.4691358025,0.5802469136,0.5308641975,0.5679012346,0.5432098765,0.4444444444,0.4382716049,0.4691358025,0.462962963,0.5617283951,0.6172839506,0.5864197531,0.5555555556,0.5987654321,0.5308641975,0.549382716,0.5555555556,0.4197530864,0.4620689655,0.4700854701,0.5309257305
Los Angeles Angels,1,0.4444444444,0.3888888889,0.450617284,0.450617284,0.475308642,0.4333333333,0.4444444444,0.4938271605,0.4938271605,0.4567901235,0.524691358,0.6049382716,0.4814814815,0.549382716,0.5308641975,0.4938271605,0.5987654321,0.6172839506,0.5802469136,0.549382716,0.5864197531,0.5679012346,0.475308642,0.6111111111,0.462962963,0.5061728395,0.4320987654,0.524691358,0.5185185185,0.4320987654,0.5379310345,0.4017094017,0.5199963661
Oakland Athletics,0,0.4691358025,0.4259259259,0.3086419753,0.3703703704,0.5308641975,0.6,0.5987654321,0.5987654321,0.462962963,0.4259259259,0.4197530864,0.5432098765,0.5925925926,0.5802469136,0.4567901235,0.5,0.462962963,0.462962963,0.4691358025,0.5740740741,0.5432098765,0.5617283951,0.5925925926,0.6358024691,0.6296296296,0.5617283951,0.537037037,0.4567901235,0.4012345679,0.4814814815,0.4620689655,0.4358974359,0.5210415287
New York Mets,0,0.512345679,0.549382716,0.462962963,0.6234567901,0.475308642,0.4333333333,0.5308641975,0.475308642,0.4320987654,0.537037037,0.5555555556,0.487654321,0.4567901235,0.4567901235,0.475308642,0.487654321,0.4320987654,0.549382716,0.5432098765,0.5987654321,0.512345679,0.4382716049,0.4074074074,0.462962963,0.5061728395,0.5802469136,0.5987654321,0.5432098765,0.5432098765,0.4382716049,0.475862069,0.4700854701,0.5178103348
Seattle Mariners,0,0.5555555556,0.524691358,0.5432098765,0.5555555556,0.5555555556,0.45,0.4197530864,0.549382716,0.4814814815,0.5308641975,0.4691358025,0.537037037,0.4382716049,0.462962963,0.4135802469,0.3765432099,0.524691358,0.3765432099,0.5432098765,0.4814814815,0.4259259259,0.3888888889,0.5740740741,0.5740740741,0.7160493827,0.5617283951,0.487654321,0.4691358025,0.5555555556,0.524691358,0.5448275862,0.4188034188,0.5171262889
Philadelphia Phillies,1,0.5925925926,0.5864197531,0.5555555556,0.537037037,0.5061728395,0.4666666667,0.5,0.4938271605,0.4074074074,0.4382716049,0.3888888889,0.450617284,0.450617284,0.5,0.6296296296,0.5987654321,0.5740740741,0.5679012346,0.549382716,0.524691358,0.5432098765,0.5308641975,0.5308641975,0.4938271605,0.5308641975,0.4012345679,0.475308642,0.462962963,0.4197530864,0.4135802469,0.475862069,0.4615384615,0.5180125221
Toronto Blue Jays,0,0.5802469136,0.4567901235,0.549382716,0.5679012346,0.5617283951,0.5333333333,0.4135802469,0.450617284,0.4691358025,0.549382716,0.5740740741,0.512345679,0.4567901235,0.450617284,0.5,0.524691358,0.462962963,0.5308641975,0.512345679,0.537037037,0.4938271605,0.4135802469,0.5308641975,0.4814814815,0.4938271605,0.512345679,0.5185185185,0.5432098765,0.4691358025,0.4567901235,0.3862068966,0.4700854701,0.5149580572
Texas Rangers,1,0.5,0.4814814815,0.5555555556,0.4197530864,0.3703703704,0.3666666667,0.4814814815,0.4135802469,0.4814814815,0.5864197531,0.5432098765,0.4135802469,0.5617283951,0.5740740741,0.5925925926,0.5555555556,0.537037037,0.487654321,0.462962963,0.4938271605,0.487654321,0.549382716,0.4382716049,0.4444444444,0.450617284,0.4382716049,0.5864197531,0.5432098765,0.475308642,0.5555555556,0.5103448276,0.4444444444,0.5097721748
Chicago Cubs,1,0.5679012346,0.512345679,0.512345679,0.4567901235,0.4382716049,0.5666666667,0.5185185185,0.5864197531,0.5679012346,0.6358024691,0.5987654321,0.450617284,0.4074074074,0.3765432099,0.4382716049,0.462962963,0.512345679,0.5987654321,0.524691358,0.4074074074,0.487654321,0.549382716,0.5432098765,0.4135802469,0.5432098765,0.4012345679,0.4135802469,0.5555555556,0.4197530864,0.4691358025,0.5034482759,0.4188034188,0.5115899591
