team,closeness,betweenness,eigenvector,katz,degree,winning_pct
KC,1,0,0.1825741858,0.1825741858,20,0.4595822941
NYM,1,0,0.1825741858,0.1825741858,24.27586207,0.5178103348
COL,1,0,0.1825741858,0.1825741858,17.24137931,0.4720454404
WSH,1,0,0.1825741858,0.1825741858,17.72413793,0.4905215989
TEX,1,0,0.1825741858,0.1825741858,22.93103448,0.5097721748
MIL,1,0,0.1825741858,0.1825741858,21.96551724,0.5094196147
MIN,1,0,0.1825741858,0.1825741858,14.27586207,0.5038132482
NYY,1,0,0.1825741858,0.1825741858,24.31034483,0.6016099454
PHI,1,0,0.1825741858,0.1825741858,20.65517241,0.5180125221
CLE,1,0,0.1825741858,0.1825741858,21.20689655,0.5510969242
DET,1,0,0.1825741858,0.1825741858,17.68965517,0.4726242728
CWS,1,0,0.1825741858,0.1825741858,20.5862069,0.501641108
SEA,1,0,0.1825741858,0.1825741858,26.4137931,0.5171262889
BOS,1,0,0.1825741858,0.1825741858,25.17241379,0.5564818776
SF,1,0,0.1825741858,0.1825741858,16.4137931,0.5309257305
LAA,1,0,0.1825741858,0.1825741858,16.44827586,0.5199963661
BAL,1,0,0.1825741858,0.1825741858,20.20689655,0.4842801488
HOU,1,0,0.1825741858,0.1825741858,17.93103448,0.5389476225
LAD,1,0,0.1825741858,0.1825741858,26.13793103,0.5795604381
SAD,1,0,0.1825741858,0.1825741858,28.82758621,0.5024260891
PIT,1,0,0.1825741858,0.1825741858,22.79310345,0.4594752321
CHC,1,0,0.1825741858,0.1825741858,22.34482759,0.5115899591
TOR,1,0,0.1825741858,0.1825741858,22.79310345,0.5149580572
MIA,1,0,0.1825741858,0.1825741858,22.96551724,0.4775329664
CIN,1,0,0.1825741858,0.1825741858,21.17241379,0.5004082303
ATL,1,0,0.1825741858,0.1825741858,23.31034483,0.5751106273
STL,1,0,0.1825741858,0.1825741858,14.55172414,0.5515040981
OAK,1,0,0.1825741858,0.1825741858,24.51724138,0.5210415287
ARI,1,0,0.1825741858,0.1825741858,21.34482759,0.5051440329
TB,1,0,0.1825741858,0.1825741858,22.96551724,0.5112025606
